# Number of bins used: 2
# Number of cases packed: 10
# Objective value: 82.0

  case_id    bin-location    orientation    x    y    z    x'    y'    z'
---------  --------------  -------------  ---  ---  ---  ----  ----  ----
        0               2              1   25    0    0     9    38     4
        1               2              1   34    0    0     8    39     4
        1               2              1   42    0    0     8    39     4
        2               1              6    0    0    0     4    52     8
        3               2              3   27    0    4    23    24    14
        4               2              6   25   44    0     7    12    12
        5               1              3    4    0   -0    21    16    11
        6               2              1   32   27    4    15    29    10
        7               1              1    0   20    8    24    36    10
        8               1              1    4   17    0    21    39     7
